time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,16,9,17,8,0,0,0,16,9,15,10,0,0,0
360,17,9,19,7,0,0,12,17,10,21,6,0,0,11
720,20,12,20,12,0,0,13,17,10,20,7,0,0,11
1080,26,12,22,16,0,0,13,18,12,20,10,0,0,11
1440,24,13,20,17,0,0,13,22,17,23,16,0,0,13
1800,25,13,22,16,0,0,13,23,19,24,18,0,0,13
2160,28,12,22,18,0,2,14,25,20,25,20,0,0,14
2520,30,12,19,23,0,4,13,27,21,24,24,0,2,13
2880,30,15,20,25,0,4,13,27,25,24,28,0,2,13
3240,29,15,18,26,0,5,12,29,28,27,30,0,3,14
3600,32,16,23,25,0,7,15,32,27,25,34,0,4,16
3960,33,21,26,28,0,9,15,34,29,28,35,0,5,17
4320,36,22,25,33,0,11,17,37,30,34,33,0,6,19
4680,37,24,25,36,0,12,17,39,31,36,34,0,7,20
5040,39,27,27,39,0,12,19,40,34,39,35,0,9,22
5400,42,32,31,43,0,13,21,44,35,40,39,0,12,24
5760,44,34,33,45,0,14,20,44,40,43,41,0,13,23
6120,44,38,31,51,0,16,20,44,41,46,39,0,16,23
6480,47,39,34,52,0,19,21,46,45,47,44,1,17,24
6840,46,40,40,46,7,21,20,53,46,48,51,1,19,26
7200,51,38,44,45,11,21,23,51,43,47,47,11,19,26
7560,8,2,4,6,95,21,3,0,0,0,0,109,20,0
7920,8,2,4,6,95,21,3,1,0,1,0,109,20,1
8280,7,2,4,5,95,21,3,2,0,2,0,109,20,2
8640,6,2,3,5,95,22,2,2,0,2,0,109,20,2
9000,6,2,3,5,95,22,2,2,0,2,0,109,20,2
9360,7,2,3,6,95,22,2,2,0,2,0,109,20,2
9720,6,2,3,5,95,22,2,3,0,3,0,109,20,3
10080,5,2,4,3,95,22,2,4,0,4,0,109,20,4
10440,4,2,4,2,95,22,2,5,0,5,0,109,20,5
10800,4,3,5,2,95,22,2,5,0,5,0,109,20,5
11160,4,3,5,2,95,22,2,5,0,5,0,109,20,5
11520,3,3,4,2,95,23,1,5,0,5,0,109,20,5
11880,3,3,4,2,95,23,1,5,0,5,0,109,20,5
12240,4,3,5,2,95,23,1,5,0,5,0,109,20,5
12600,3,2,3,2,95,25,0,5,0,5,0,109,20,5
12960,3,2,3,2,95,25,0,5,0,5,0,109,20,5
13320,3,2,3,2,95,25,0,5,0,5,0,109,20,5
13680,3,2,4,1,95,25,0,5,0,5,0,109,20,5
14040,3,2,4,1,95,25,0,4,0,4,0,109,21,4
14400,3,2,4,1,95,25,0,3,0,3,0,109,22,3
14760,3,2,4,1,95,25,0,3,0,3,0,109,22,3
15120,3,2,5,0,95,25,0,3,0,3,0,109,22,3
15480,3,2,5,0,95,25,0,3,0,3,0,109,22,3
15840,2,3,4,1,95,25,0,3,0,3,0,109,23,3
16200,2,2,3,1,95,26,0,2,0,2,0,109,24,2
16560,1,2,2,1,95,26,0,2,0,2,0,109,25,2
16920,1,2,2,1,95,26,0,1,0,1,0,109,26,1
17280,1,2,2,1,95,26,0,1,0,1,0,109,26,1
17640,1,2,2,1,95,26,0,1,0,1,0,109,26,1
18000,1,2,2,1,95,26,0,1,0,1,0,109,26,1
18360,0,2,1,1,95,26,0,1,0,1,0,109,27,1
18720,0,2,2,0,95,26,0,1,0,1,0,109,27,1
19080,0,2,2,0,95,26,0,1,0,1,0,109,27,1
19440,0,2,2,0,95,26,0,1,0,1,0,109,27,1
19800,0,1,1,0,95,27,0,1,0,1,0,109,27,1
20160,0,1,1,0,95,27,0,1,0,1,0,109,27,1
20520,0,1,1,0,95,27,0,1,0,1,0,109,27,1
20880,0,1,1,0,95,27,0,1,0,1,0,109,27,1
21240,0,1,1,0,95,27,0,0,0,0,0,109,28,0
21600,0,1,1,0,95,27,0,0,0,0,0,109,28,0
21960,0,1,1,0,95,27,0,0,0,0,0,109,28,0
22320,0,1,1,0,95,27,0,0,0,0,0,109,28,0
