time,female_monkeys_territory_1,male_monkeys_territory_1,adult_monkeys_territory_1,young_monkeys_territory_1,starvation_deaths_territory_1,age_deaths_territory_1,moved_female_monkeys_territory_1,female_monkeys_territory_2,male_monkeys_territory_2,adult_monkeys_territory_2,young_monkeys_territory_2,starvation_deaths_territory_2,age_deaths_territory_2,moved_female_monkeys_territory_2
0,16,9,17,8,0,0,0,16,9,15,10,0,0,0
360,17,9,19,7,0,0,12,16,10,21,5,0,0,11
720,21,12,19,14,0,0,12,19,10,21,8,0,0,11
1080,24,12,21,15,0,0,12,20,12,21,11,0,0,11
1440,24,13,20,17,0,0,13,22,16,23,15,0,0,13
1800,24,13,22,15,0,0,13,24,19,24,19,0,0,13
2160,28,13,23,18,0,2,15,25,19,24,20,0,0,14
2520,29,13,20,22,0,4,14,28,21,23,26,0,2,13
2880,29,16,21,24,0,4,14,28,25,23,30,0,2,13
3240,29,16,20,25,0,6,14,29,27,24,32,0,2,14
3600,32,16,25,23,0,8,15,32,27,26,33,0,3,16
3960,33,22,26,29,0,10,16,35,30,29,36,0,4,17
4320,36,21,26,31,0,12,17,37,30,32,35,0,5,18
4680,38,22,27,33,0,13,18,38,31,34,35,0,6,18
5040,38,26,30,34,0,13,20,39,34,36,37,0,8,20
5400,43,33,32,44,0,14,23,44,37,40,41,0,11,24
5760,42,35,34,43,0,15,22,46,39,43,42,0,12,23
6120,44,36,34,46,0,17,22,44,40,43,41,0,15,21
6480,43,42,35,50,0,20,22,43,38,44,37,9,16,22
6840,48,41,40,49,6,22,22,48,43,48,43,9,18,24
7200,52,40,44,48,7,22,25,52,46,51,47,10,18,27
7560,53,41,45,49,8,22,25,50,42,48,44,19,20,24
7920,50,36,44,42,22,22,25,51,38,46,43,29,21,22
8280,55,40,52,43,22,23,29,50,38,42,46,46,23,22
8640,47,38,46,39,37,24,23,47,34,39,42,57,23,20
9000,50,39,48,41,38,24,25,49,34,40,43,57,23,22
9360,50,37,51,36,46,24,25,54,34,42,46,57,24,24
9720,58,35,51,42,54,26,28,54,37,45,46,66,27,26
10080,59,37,51,45,56,27,29,47,30,38,39,88,29,21
10440,59,37,48,48,58,29,27,48,31,38,41,89,30,21
10800,49,35,41,43,70,31,21,49,29,35,43,96,32,20
11160,52,39,44,47,75,34,23,58,30,42,46,96,33,23
11520,51,42,41,52,82,37,19,57,31,41,47,97,33,22
11880,52,39,40,51,89,39,20,57,30,40,47,97,34,22
12240,53,38,41,50,98,39,21,57,28,38,47,101,36,22
12600,41,35,35,41,128,39,20,55,28,42,41,115,38,25
12960,50,37,39,48,128,42,23,50,30,43,37,115,39,25
13320,53,39,43,49,129,42,25,54,31,44,41,115,39,27
13680,54,42,45,51,131,42,28,51,35,45,41,119,39,28
