GENUS,KCAL_TREE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LAND_PERC_OG
small1,21.92077,1,1,1,1,1,0,0,0,0,0,0,0,0.0688888888888889
medium1,31.58002,0,0,1,1,1,1,1,1,1,0,0,0,0.0488888888888889
large1,41.20294,0,0,0,0,0,0,1,1,1,1,0,0,0.0188888888888889
small2,21.92077,0,0,1,1,1,1,1,1,1,0,0,0,0.0488888888888889
medium2,31.58002,0,0,0,0,0,0,1,1,1,1,0,0,0.0188888888888889
large2,41.20294,1,1,1,1,1,0,0,0,0,0,0,0,0.0688888888888889
small3,21.92077,0,0,0,0,0,0,1,1,1,1,0,0,0.0188888888888889
medium3,31.58002,1,1,1,1,1,0,0,0,0,0,0,0,0.0688888888888889
large3,41.20294,0,0,1,1,1,1,1,1,1,0,0,0,0.0588888888888889
others,0,1,1,1,1,1,1,1,1,1,1,1,1,0.58
