GENUS,KCAL_TREE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LAND_PERC_OG
small1,21.92077,1,1,1,1,1,0,0,0,0,0,0,0,0.0533333333333333
medium1,31.58002,0,0,1,1,1,1,1,1,1,0,0,0,0.0333333333333333
large1,41.20294,0,0,0,0,0,0,1,1,1,1,0,0,0.00333333333333334
small2,21.92077,0,0,1,1,1,1,1,1,1,0,0,0,0.0333333333333333
medium2,31.58002,0,0,0,0,0,0,1,1,1,1,0,0,0.00333333333333334
large2,41.20294,1,1,1,1,1,0,0,0,0,0,0,0,0.0533333333333333
small3,21.92077,0,0,0,0,0,0,1,1,1,1,0,0,0.00333333333333334
medium3,31.58002,1,1,1,1,1,0,0,0,0,0,0,0,0.0533333333333333
large3,41.20294,0,0,1,1,1,1,1,1,1,0,0,0,0.0433333333333333
others,0,1,1,1,1,1,1,1,1,1,1,1,1,0.72
