GENUS,KCAL_TREE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LAND_PERC_OG
small1,21.92077,1,1,1,1,1,0,0,0,0,0,0,0,0.0377777777777778
medium1,31.58002,0,0,1,1,1,1,1,1,1,0,0,0,0.0177777777777778
large1,41.20294,0,0,0,0,0,0,1,1,1,1,0,0,-0.0122222222222222
small2,21.92077,0,0,1,1,1,1,1,1,1,0,0,0,0.0177777777777778
medium2,31.58002,0,0,0,0,0,0,1,1,1,1,0,0,-0.0122222222222222
large2,41.20294,1,1,1,1,1,0,0,0,0,0,0,0,0.0377777777777778
small3,21.92077,0,0,0,0,0,0,1,1,1,1,0,0,-0.0122222222222222
medium3,31.58002,1,1,1,1,1,0,0,0,0,0,0,0,0.0377777777777778
large3,41.20294,0,0,1,1,1,1,1,1,1,0,0,0,0.0277777777777778
others,0,1,1,1,1,1,1,1,1,1,1,1,1,0.86
